length,reward,score
20,7,7
18,6,6
16,4,4
20,6,6
18,7,7
20,6,6
20,6,6
20,7,7
14,4,4
20,6,6
20,7,7
20,4,4
18,5,5
20,7,7
18,5,5
20,7,7
20,5,5
18,6,6
18,5,5
18,7,7
18,6,6
18,7,7
20,5,5
18,6,6
20,7,7
20,5,5
20,7,7
16,6,6
16,4,4
18,6,6
18,7,7
18,7,7
12,3,3
18,6,6
18,7,7
18,8,8
18,6,6
20,8,8
18,6,6
20,7,7
20,6,6
20,7,7
18,7,7
20,7,7
18,8,8
20,5,5
18,6,6
18,7,7
18,7,7
20,5,5
16,6,6
18,6,6
18,7,7
20,6,6
20,6,6
18,6,6
20,6,6
20,4,4
18,6,6
18,7,7
20,7,7
20,4,4
20,5,5
20,6,6
20,4,4
14,3,3
18,6,6
18,7,7
18,7,7
18,7,7
14,5,5
12,3,3
16,4,4
18,5,5
18,8,8
20,7,7
18,6,6
20,7,7
18,5,5
18,7,7
20,4,4
16,3,3
16,4,4
18,5,5
18,7,7
20,8,8
16,5,5
20,6,6
18,7,7
16,5,5
20,8,8
20,7,7
16,4,4
18,5,5
18,6,6
18,7,7
18,7,7
18,7,7
18,7,7
20,7,7
18,8,8
18,7,7
18,6,6
16,5,5
20,6,6
18,7,7
18,6,6
20,8,8
18,7,7
14,3,3
18,8,8
18,7,7
18,8,8
20,6,6
14,3,3
12,3,3
16,5,5
18,7,7
18,7,7
18,6,6
18,7,7
20,7,7
16,4,4
20,6,6
20,5,5
18,7,7
20,6,6
20,7,7
18,8,8
18,8,8
14,4,4
16,4,4
20,5,5
20,5,5
20,6,6
18,7,7
18,7,7
20,5,5
20,7,7
20,7,7
18,9,9
20,5,5
16,7,7
18,7,7
18,6,6
20,7,7
18,7,7
18,7,7
18,7,7
18,5,5
18,6,6
18,7,7
18,7,7
18,8,8
18,8,8
16,5,5
18,6,6
16,7,7
18,8,8
16,6,6
20,6,6
18,6,6
18,9,9
20,8,8
18,6,6
18,7,7
18,5,5
18,4,4
18,6,6
18,7,7
18,8,8
20,5,5
20,6,6
20,6,6
18,6,6
20,7,7
20,7,7
16,3,3
18,6,6
18,7,7
16,4,4
18,7,7
20,6,6
18,7,7
18,6,6
20,7,7
18,6,6
18,7,7
16,4,4
18,7,7
20,7,7
18,7,7
16,4,4
18,7,7
20,7,7
20,5,5
18,6,6
18,7,7
18,5,5
18,7,7
18,3,3
18,7,7
18,8,8
14,3,3
16,5,5
16,6,6
20,6,6
20,3,3
18,7,7
18,6,6
20,6,6
18,5,5
18,7,7
18,6,6
18,6,6
18,6,6
18,6,6
18,6,6
18,6,6
16,3,3
14,3,3
18,7,7
18,8,8
20,8,8
18,6,6
18,7,7
18,8,8
16,6,6
18,7,7
18,8,8
20,7,7
18,6,6
14,3,3
18,7,7
20,6,6
18,6,6
18,7,7
18,7,7
18,7,7
18,5,5
18,6,6
18,7,7
18,5,5
18,7,7
18,7,7
18,6,6
16,4,4
20,6,6
20,6,6
18,6,6
18,7,7
20,6,6
18,7,7
18,6,6
20,7,7
18,6,6
20,6,6
18,6,6
18,6,6
18,6,6
18,7,7
18,8,8
20,5,5
18,6,6
18,7,7
18,7,7
18,6,6
18,6,6
16,3,3
18,7,7
18,6,6
18,7,7
16,4,4
20,7,7
20,6,6
10,2,2
18,7,7
20,5,5
18,8,8
20,6,6
20,5,5
18,6,6
18,7,7
18,5,5
18,7,7
20,4,4
20,4,4
18,7,7
18,7,7
20,5,5
18,6,6
18,8,8
18,6,6
18,8,8
18,5,5
18,6,6
18,7,7
18,8,8
18,5,5
16,4,4
18,7,7
18,7,7
18,4,4
18,7,7
18,6,6
20,4,4
18,4,4
18,7,7
20,5,5
18,6,6
18,5,5
18,5,5
20,6,6
18,8,8
18,7,7
18,7,7
18,4,4
18,7,7
20,5,5
20,4,4
16,5,5
18,7,7
12,4,4
18,6,6
20,5,5
18,6,6
16,6,6
18,6,6
20,6,6
12,4,4
18,7,7
18,6,6
20,6,6
20,7,7
20,5,5
18,5,5
20,6,6
20,6,6
20,7,7
18,6,6
18,5,5
18,4,4
20,7,7
18,7,7
20,7,7
20,5,5
20,6,6
18,7,7
18,5,5
20,7,7
16,5,5
18,6,6
20,7,7
18,6,6
18,6,6
18,8,8
20,7,7
18,7,7
16,4,4
18,7,7
18,6,6
20,7,7
20,6,6
20,8,8
20,6,6
18,7,7
18,6,6
18,6,6
18,6,6
18,6,6
20,8,8
18,7,7
18,7,7
18,7,7
20,7,7
18,6,6
20,7,7
18,7,7
18,6,6
20,7,7
20,6,6
20,5,5
20,5,5
18,6,6
18,7,7
18,7,7
16,4,4
18,6,6
18,7,7
18,8,8
18,7,7
18,7,7
18,8,8
18,8,8
18,4,4
18,7,7
20,7,7
18,8,8
18,8,8
18,7,7
20,7,7
20,7,7
18,7,7
18,6,6
18,7,7
18,7,7
18,7,7
18,7,7
18,5,5
18,7,7
18,8,8
18,7,7
18,7,7
18,8,8
18,7,7
18,7,7
20,7,7
16,5,5
22,4,4
18,8,8
20,7,7
16,3,3
20,6,6
18,5,5
18,7,7
14,3,3
18,7,7
18,6,6
18,7,7
18,6,6
20,6,6
18,5,5
18,8,8
18,7,7
18,7,7
18,7,7
18,8,8
18,7,7
20,5,5
18,6,6
18,7,7
18,6,6
18,7,7
18,5,5
18,7,7
18,7,7
16,5,5
18,6,6
18,6,6
20,7,7
20,7,7
18,6,6
18,9,9
18,7,7
18,6,6
20,7,7
20,7,7
20,7,7
18,7,7
18,7,7
16,5,5
20,5,5
16,4,4
20,6,6
18,7,7
20,7,7
20,7,7
20,7,7
